Coordinates,Name,Rich Description,icon name
POINT (103.7237969 1.3414779),Cannon,Gunboat Diplomacy,cannon.jpg
POINT (103.7227063 1.3430237),Sandbag,Description:,sandbag.jpg
POINT (103.7247079 1.3401631),Fishing Rod,Prawn Ponds & More,rod.jpg
POINT (103.7283361 1.332414),Crocodile Tooth,,croc.jpg
POINT (103.7308332 1.3368412),Lantern,,lantern.jpg
POINT (103.7334877 1.3332154),Snake,,
POINT (103.7320312 1.3381212),Chainsaw,how jurong was deforested for industry. connect to forest rumble,
POINT (103.7274359 1.3393991),Gold Medal,SEA Games in 1970s,
POINT (103.7280321 1.334457),Latex Cup,"You are now standing in Jurong Lake Gardens’ allotment gardens. These are green spaces where aspiring gardeners can lease small plots to grow vegetables, herbs, and fruits. Across Singapore, there are now more than 2,400 allotment plots in 28 parks and gardens. Under NParks’ Allotment Gardening Scheme, households can ballot for a raised planter bed, complete with soil and storage space, at just over $62 a year. Schemes like Gardening with Edibles have encouraged more Singaporeans to grow their own food, with a goal of 3,000 allotment plots by 2030.

This is not the first time the banks of the Jurong River have been used for farming. In the 19th century, plantations of gambier and pepper cleared the surrounding jungles, but the crop quickly exhausted the soil. By the early 1900s, global demand for rubber transformed Jurong again. With the booming automobile industry requiring rubber for tyres, Malaya supplied half the world’s production by 1920. Much of it was traded through Singapore, which became the “rubber capital of the world.”

Rubber estates soon dominated Jurong’s landscape, owned by figures such as Chew Boon Lay, Tan Lark Sye, and members of the Chettiar community. Chew’s plantation was so extensive and prominent that the area itself, and later the Boon Lay MRT station, took its name from him. Latex cups, small vessels attached to the bark of rubber trees to collect dripping sap, became a familiar tool of plantation workers across these estates.",
POINT (103.7267383 1.3311575),Movie Ticket,"Where you are standing once housed the Jurong Drive-In Cinema, run by the Cathay Organisation. Opened on 14 July 1971, it was Singapore’s first and only drive-in theatre. 

The drive-in could accommodate 900 cars and 300 walk-in visitors in a front gallery, all watching an elevated screen 14.3 by 30.4 metres wide. Tickets cost $2 for adults and $1 for children. Sound was played over nearly 900 standing speakers, with some cars having individual speakers clipped to their windows.

For courting couples, the cinema quickly became a popular destination due to the long drive to the west. Sales executive Felix Goh recalled going on a double date, where the prized back seats were in demand. “We tossed a coin over which couple should occupy the back seat. My friend won,” he quipped. 

The venue also became notorious for antisocial behaviour, from car and motorcycle racing before shows to sleepless nights for nearby residents. In 1982, a police crackdown impounded 84 motorcycles and issued 20 speeding tickets. Even crime played out here, though not always successfully: in 1977, eight masked youths armed with parangs broke into the cinema office, escaping with only a torchlight worth $5.25.

Practical problems plagued the venue. Without air-conditioning, cars became stifling in Singapore’s humid nights, while rain left windscreens fogged or splashed. By the 1980s, attendance had dwindled to 200 viewers a night. The arrival of cheap pirated videotapes sealed its fate, and on 30 September 1985, the Jurong Drive-In closed with just 50 cars present at its final screenings.

Today, both the cinema and the Cathay Organisation that ran it are gone",
POINT (103.7301145 1.3382391),Bonsai,"Opened in 1992, the Bonsai Garden in Jurong’s Chinese Garden is the largest Suzhou-style bonsai garden outside of China. It houses a curated collection of beautifully manicured miniature trees, shaped with artistry and patience.

As you walk through this section, you may notice a shift in atmosphere. The rest of the Chinese Garden was built in the grand, symmetrical Imperial style. In Imperial gardens, glazed tiles, elaborate carvings, and bright colours such as red and yellow dominate, as these were traditionally associated with royalty. By contrast, the Suzhou section is more subdued. Here, dark grey unglazed clay tiles, plainer roofs, and meandering paths create a quieter, humbler aesthetic that complements the bonsai on display.

In its original plans, the Bonsai Garden was meant to showcase over 2,000 bonsai from around the world, arranged in groups according to style and the rocks and plants used. Another 400 bonsai were to be created locally, using raw material from across ASEAN. Although bonsai is a Japanese word, the art itself originated in China, where it is known as penjing or penzai. Penjing often presents miniature landscapes combining rocks, trees, and figurines in a wilder, natural style, while bonsai tends toward a more refined, stylised depiction of single trees. To learn more about bonsai and penjing, visit the Visitors Centre at the western end of this section.


img: sip.jpg

Beyond this garden, Jurong has another connection to Suzhou. In the early 1990s, Singapore was deepening its engagement with China as it began to see investment in China as a natural extension of its economic strategy. In fact, plans for this Bonsai Garden were first unveiled in Suzhou during a two-week trip to China by then-Deputy Prime Minister Lee Hsien Loong. Soon after, then-Senior Minister Lee Kuan Yew proposed a government-to-government venture to build a modern industrial estate in Suzhou, blending Singapore’s Jurong Industrial Estate expertise with China’s development needs. The China–Singapore Suzhou Industrial Park (CS-SIP) was formally launched on 26 February 1994. Though ultimately successful, the project was highly controversial, with the elder Lee himself criticising bureaucratic hurdles, weak local support, and competition from cheaper nearby sites.",
POINT (103.7302961 1.3384431),Bridges,"
In the 1960s, planners envisioned Jurong Lake as a chain of eight man-made islands created by dredging the bends of the Jurong River. At the inaugural meeting of the Jurong Town Corporation in June 1968, Finance Minister Goh Keng Swee described how these islands would be landscaped into themed gardens and connected by decorative bridges.

The first island, and the most southern most, was eventually developed into a golf course. The second island became the Japanese Garden, following the original plan. 

The third to sixth islands were designed as the Chinese Garden. Though the 1974 street map still shows them as four smaller islets linked by bridges, in practice they were merged into one large landmass. Right now, as you cross thisstream, you are technically moving from one of these islets to another.

The seventh and eighth islands at the northern end of the lake, planned as picnic grounds with ponds and a restaurant, seem to not have been built.
",
POINT (103.7281636 1.3318083),Villagers,,
POINT (103.7283051 1.3396371),Yin and Yang Token,"Balance is one of the guiding principles of the Chinese Garden, and it greets you from the very entrance. Guarding the gates are two mighty marble lions, symbols of authority and felicity. They always appear in pairs, manifesting yin and yang. The male lion rests his paw on an embroidered ball, representing the external and material world. The female steadies a cub beneath her paw, symbolising the cycle of life and the living spirit within. Together, they protect both the structure and the soul. In some traditions the male’s mouth is open while the female’s is closed, forming the sacred syllable “om” - creation and completion.

The theme of balance continues deeper inside. In front of you, the Twin Pagodas embody yin and yang in architectural form. The broader Cloud Draping Tower (Pi Yun Ge, ___) represents Yang, active and expansive, its very name evoking clouds enveloping the sky. Opposite it, the slender Moon Receiving Tower (Yeh Yueh Lou, ___) represents Yin, receptive and nurturing, welcoming the moon’s gentle light. Both rise three storeys high, reflecting the auspicious use of odd numbers in Chinese architecture.

More generally, during the construction of the Chinese Garden in the early 1970s, great attention was paid to harmony and proportion. Traditional Chinese architects decreed that every structure must be balanced in height and size, and that buildings should harmonise with plants, flowing streams, and winding pebble paths. The contractors overseeing construction made multiple trips to China to study classical styles and consult experts, ensuring that every element of Jurong’s Chinese Garden reflected this enduring principle of balance.

On a grander level, when looking at the lake as a whole, where the Chinese Garden is designed to be visually exciting, the Japanese Gardens are designed with a calmness to evoke inner peace and a meditative state. ",
