Coordinates,Name,Kind,Linked to Item:,Rich Description,icon name
POINT (103.7237969 1.3414779),Cannon,fixed,,"Commodore Matthew Perry's American East India Squadron undertook its now-famous expedition that forced Japan to open to world trade. Less well-known is the fact that Perry's squadron stopped in Singapore before Japan, where its officers surveyed the Jurong River.

[img:perry.jpg:The earliest known illustration of the Jurong River, created by Perry's expedition artists in 1853]

The survey of Jurong produced what is today the earliest known illustration of the Jurong River. Created by the expedition's artists, Peter Wilhelm Heine and Eliphalet Brown, the lithograph depicts Malay stilt houses, a canoe flying the United States flag, and Jurong's dense vegetation.

https://www.youtube.com/watch?v=MaZ95O6RmAc

In the distance, fires are shown beyond the trees, likely representing the frequent kampong blazes of the era, or the boiling cauldrons used for processing gambier leaves. This historical document provides a rare glimpse into Singapore's landscape before industrialization transformed the region.",cannon.jpg
POINT (103.7227063 1.3430237),Lake Lookout ,landmark,sandbag,"The lake in front of you today did not exist 50 years ago. Before its creation, this was Sungei Jurong — a winding river running down to the sea, bordered by mangrove forests, mudflats, and sandbanks. In the 1960s, as part of Singapore's industrialisation push, planners at the Economic Development Board (EDB), and then the newly formed Jurong Town Corporation (JTC), decided to reshape the river into a lake. This was to make it easier to supply water for factories while also laying the groundwork for recreational amenities. 

[river.jpg]


Urban planners wanted Jurong to be more than just an industrial town. Conceived as Singapore's first garden industrial estate, 12 percent of its land was set aside for parks, gardens, and open spaces. The Jurong Lake area was planned as a vital green lung to separate factories from residential zones. At the inaugural JTC meeting in June 1968, Finance Minister Goh Keng Swee described a vision of eight islands within the lake, linked by bridges and landscaped into themed gardens. In practice, only three of these were built: one for the Japanese Garden, the Chinese Garden, and one for a golf course. Goh's aviary later became Jurong Bird Park near Jurong Hill, while the last two islands were never realised. In 1971, the upper section of the Jurong River was dammed, formally creating the 81-hectare Jurong Lake. Today, it functions as both a reservoir and a planned landscape",lookout.png
POINT (103.7227063 1.3430237),Sandbag,fixed,,"The lake in front of you today did not exist 50 years ago. Before its creation, this was Sungei Jurong — a winding river running down to the sea, bordered by mangrove forests, mudflats, and sandbanks. In the 1960s, as part of Singapore's industrialisation push, planners at the Economic Development Board (EDB), and then the newly formed Jurong Town Corporation (JTC), decided to reshape the river into a lake. This was to make it easier to supply water for factories while also laying the groundwork for recreational amenities. 


Urban planners wanted Jurong to be more than just an industrial town. Conceived as Singapore's first garden industrial estate, 12 percent of its land was set aside for parks, gardens, and open spaces. The Jurong Lake area was planned as a vital green lung to separate factories from residential zones. At the inaugural JTC meeting in June 1968, Finance Minister Goh Keng Swee described a vision of eight islands within the lake, linked by bridges and landscaped into themed gardens. In practice, only three of these were built: one for the Japanese Garden, the Chinese Garden, and one for a golf course. Goh's aviary later became Jurong Bird Park near Jurong Hill, while the last two islands were never realised. In 1971, the upper section of the Jurong River was dammed, formally creating the 81-hectare Jurong Lake. Today, it functions as both a reservoir and a planned landscape",sandbag.jpg
POINT (103.7247079 1.3401631),Fishing Rod,fixed,,"In the early 1900s, Chinese settlers introduced aquaculture practices, while Malay villagers combined net fishing with prawn ponds built in muddy estuaries and mangrove swamps. By the 1950s, Singapore had some 1,000 acres of prawn ponds, and half of them were in Jurong. These were the most productive in the country, yielding nearly 1,000 kilograms of prawns per acre compared to less than 45 kilograms at Pulau Ubin. The ponds you see around you today probably do not contain prawns, but they are meant to mimic tidal patterns, ripples, and currents similar to those at coastal shores where prawn ponds once stood. Clusia Cove, a three-hectare water playground in Jurong Lake Gardens, lets children experience water play while also learning about water cycles and ecological balance. Clusia Cove also demonstrates natural water cleansing. Water circulates in a closed loop through a cleansing biotope, the playground, and an eco-pond. Sand beds and semi-aquatic plants like the Common Susum (Hanguana malayanum) filter and oxygenate the water, while ultraviolet treatment ensures it remains safe. The eco-pond itself mimics a freshwater wetland, where substrate filters debris and plants provide further purification before the loop begins again. The cove is named after one such plant — the Autograph Tree (Clusia rosea).""",rod.jpg
POINT (103.7320312 1.3381212),Chainsaw,fixed,,"
You’re now at Cascading Creek, a facsimile of a Southeast Asian river. It hints at what Jurong once was: a tangle of jungle and swamp stitched by the old Jurong River. An amusing account of a police raid on a Jurong counterfeiting den in 1904 captures this:

“Last night at 10.45 Insp. Branagan and a party of detectives raided a house … in the jungle. It would have been a difficult matter even in daylight to get to the house, but at night it was extremely dangerous as the path led through dense jungle and swamp … when the party arrived at the house they were rather done up and some presented a wretched appearance, having been unfortunate enough to fall into swamp holes.”

[cascadingcreek.jpg]

Jurong’s river story is one of twin clearings. Up to the 1820s, Orang Laut and Malay villages lined the river mouths while the interior stayed a green. The first big clearing came in the 19th century: gambier and pepper estates chewed through forest, exhausting soils and shifting on. By the early 1900s, rubber took over; with tyres fuelling the automobile age, Malaya supplied about half the world’s rubber by 1920, and Singapore styled itself the “rubber capital of the world.” Forest fell to rows of plantation trees; streams were tapped, straightened, and tamed.

[industrialisation.jpg]

The second upheaval was industrialisation in the 1960s–70s. As Finance Minister Hon Sui Sen noted at the Chinese Garden’s opening, Jurong once “possessed those elements” of lakes, streams, woods, hills, and plains – yet development demanded earth and access. Some corridors, like the upper Jurong River, were set aside; beyond them, many hills were levelled and lowlands infilled with millions of tons of earth. The lake you see today is a by-product of this remaking – Economic Development Board officers converted Sungei Jurong into a managed lake to supply industry and create new leisure on its shores.",chainsaw.png
POINT (103.7280321 1.334457),Latex Cup,fixed,,"You are now standing in Jurong Lake Gardens’ allotment gardens. These are green spaces where aspiring gardeners can lease small plots to grow vegetables, herbs, and fruits. Across Singapore, there are now more than 2,400 allotment plots in 28 parks and gardens. Under NParks’ Allotment Gardening Scheme, households can ballot for a raised planter bed, complete with soil and storage space, at just over $62 a year. Schemes like Gardening with Edibles have encouraged more Singaporeans to grow their own food, with a goal of 3,000 allotment plots by 2030.

This is not the first time the banks of the Jurong River have been used for farming. In the 19th century, plantations of gambier and pepper cleared the surrounding jungles, but the crop quickly exhausted the soil. By the early 1900s, global demand for rubber transformed Jurong again. With the booming automobile industry requiring rubber for tyres, Malaya supplied half the world’s production by 1920. Much of it was traded through Singapore, which became the “rubber capital of the world.”

Rubber estates soon dominated Jurong’s landscape, owned by figures such as Chew Boon Lay, Tan Lark Sye, and members of the Chettiar community. Chew’s plantation was so extensive and prominent that the area itself, and later the Boon Lay MRT station, took its name from him. Latex cups, small vessels attached to the bark of rubber trees to collect dripping sap, became a familiar tool of plantation workers across these estates.",latex.png
POINT (103.7267383 1.3311575),Movie Ticket,fixed,,"Where you are standing once housed the Jurong Drive-In Cinema, run by the Cathay Organisation. Opened on 14 July 1971, it was Singapore’s first and only drive-in theatre. 

The drive-in could accommodate 900 cars and 300 walk-in visitors in a front gallery, all watching an elevated screen 14.3 by 30.4 metres wide. Tickets cost $2 for adults and $1 for children. Sound was played over nearly 900 standing speakers, with some cars having individual speakers clipped to their windows.

For courting couples, the cinema quickly became a popular destination due to the long drive to the west. Sales executive Felix Goh recalled going on a double date, where the prized back seats were in demand. “We tossed a coin over which couple should occupy the back seat. My friend won,” he quipped. 

The venue also became notorious for antisocial behaviour, from car and motorcycle racing before shows to sleepless nights for nearby residents. In 1982, a police crackdown impounded 84 motorcycles and issued 20 speeding tickets. Even crime played out here, though not always successfully: in 1977, eight masked youths armed with parangs broke into the cinema office, escaping with only a torchlight worth $5.25.

Practical problems plagued the venue. Without air-conditioning, cars became stifling in Singapore’s humid nights, while rain left windscreens fogged or splashed. By the 1980s, attendance had dwindled to 200 viewers a night. The arrival of cheap pirated videotapes sealed its fate, and on 30 September 1985, the Jurong Drive-In closed with just 50 cars present at its final screenings.

Today, both the cinema and the Cathay Organisation that ran it are gone",ticket.png
POINT (103.7301145 1.3382391),Bonsai Garden,landmark,Bonsai,"Opened in 1992, the Bonsai Garden in Jurong’s Chinese Garden is the largest Suzhou-style bonsai garden outside of China. It houses a curated collection of beautifully manicured miniature trees, shaped with artistry and patience.

As you walk through this section, you may notice a shift in atmosphere. The rest of the Chinese Garden was built in the grand, symmetrical Imperial style. In Imperial gardens, glazed tiles, elaborate carvings, and bright colours such as red and yellow dominate, as these were traditionally associated with royalty. By contrast, the Suzhou section is more subdued. Here, dark grey unglazed clay tiles, plainer roofs, and meandering paths create a quieter, humbler aesthetic that complements the bonsai on display.

In its original plans, the Bonsai Garden was meant to showcase over 2,000 bonsai from around the world, arranged in groups according to style and the rocks and plants used. Another 400 bonsai were to be created locally, using raw material from across ASEAN. Although bonsai is a Japanese word, the art itself originated in China, where it is known as penjing or penzai. Penjing often presents miniature landscapes combining rocks, trees, and figurines in a wilder, natural style, while bonsai tends toward a more refined, stylised depiction of single trees. To learn more about bonsai and penjing, visit the Visitors Centre at the western end of this section.


img: sip.jpg

Beyond this garden, Jurong has another connection to Suzhou. In the early 1990s, Singapore was deepening its engagement with China as it began to see investment in China as a natural extension of its economic strategy. In fact, plans for this Bonsai Garden were first unveiled in Suzhou during a two-week trip to China by then-Deputy Prime Minister Lee Hsien Loong. Soon after, then-Senior Minister Lee Kuan Yew proposed a government-to-government venture to build a modern industrial estate in Suzhou, blending Singapore’s Jurong Industrial Estate expertise with China’s development needs. The China–Singapore Suzhou Industrial Park (CS-SIP) was formally launched on 26 February 1994. Though ultimately successful, the project was highly controversial, with the elder Lee himself criticising bureaucratic hurdles, weak local support, and competition from cheaper nearby sites.",bonsai.png
POINT (103.7301145 1.3382391),Bonsai,fixed,,"Opened in 1992, the Bonsai Garden in Jurong’s Chinese Garden is the largest Suzhou-style bonsai garden outside of China. It houses a curated collection of beautifully manicured miniature trees, shaped with artistry and patience.

As you walk through this section, you may notice a shift in atmosphere. The rest of the Chinese Garden was built in the grand, symmetrical Imperial style. In Imperial gardens, glazed tiles, elaborate carvings, and bright colours such as red and yellow dominate, as these were traditionally associated with royalty. By contrast, the Suzhou section is more subdued. Here, dark grey unglazed clay tiles, plainer roofs, and meandering paths create a quieter, humbler aesthetic that complements the bonsai on display.

In its original plans, the Bonsai Garden was meant to showcase over 2,000 bonsai from around the world, arranged in groups according to style and the rocks and plants used. Another 400 bonsai were to be created locally, using raw material from across ASEAN. Although bonsai is a Japanese word, the art itself originated in China, where it is known as penjing or penzai. Penjing often presents miniature landscapes combining rocks, trees, and figurines in a wilder, natural style, while bonsai tends toward a more refined, stylised depiction of single trees. To learn more about bonsai and penjing, visit the Visitors Centre at the western end of this section.


img: sip.jpg

Beyond this garden, Jurong has another connection to Suzhou. In the early 1990s, Singapore was deepening its engagement with China as it began to see investment in China as a natural extension of its economic strategy. In fact, plans for this Bonsai Garden were first unveiled in Suzhou during a two-week trip to China by then-Deputy Prime Minister Lee Hsien Loong. Soon after, then-Senior Minister Lee Kuan Yew proposed a government-to-government venture to build a modern industrial estate in Suzhou, blending Singapore’s Jurong Industrial Estate expertise with China’s development needs. The China–Singapore Suzhou Industrial Park (CS-SIP) was formally launched on 26 February 1994. Though ultimately successful, the project was highly controversial, with the elder Lee himself criticising bureaucratic hurdles, weak local support, and competition from cheaper nearby sites.",bonsai.png
POINT (103.7281636 1.3318083),Rasau Walk,landmark,Crocodile Tooth,"""You’re now at Rasau Walk, a 300m boardwalk that showcases a restored freshwater swamp. Before heavy industry reached Jurong, mangroves like these were part of the range of the estuarine crocodile (Crocodylus porosus). Even the old place-names hint at this. Pulau Buaya (Malay for “Crocodile Island”) appears on maps dating back all the way to the early 1800s. Reclamation has folded the islet into today’s Jurong Island. 

[crocs.jpg]

Through the 1970s–90s, crocodiles were still occasionally reported around Jurong Lake and the Chinese/Japanese Gardens. Warning signs were still up in the 1980s, and a 1992 news report noted at least three crocodiles seen here over several years (one was even captured by a professional “croc hunter”). Today, you won’t find crocodiles in Jurong Lake, with their stronghold in Singapore being up north around Sungei Buloh and the Straits of Johor. If you see a big, scaly reptile here, it’s almost certainly the Malayan/Asian water monitor - a cousin of the Komodo dragon and a common sight in Jurong Lake Gardens.

Jurong also had another connection to crocodiles. In the 70s and 80s, the crocodile trade was flourishing in Singapore, with about 90 farms raising crocodiles, exporting over 92,000 kg of crocodile skin in 1980. Crocodile leather handbags and clothing hence  became popular items sold to tourists in this period.

[crocparadise.jpg]

To capitalise on this interest, the Jurong Town Corporation (JTC) announced plans to open Jurong Crocodile Paradise in 1986. The $10 million park project, which was situated on a plot next to Jurong Bird Park, aimed to provide both entertainment and education, featuring an amusement center, tanning workshops, and a 200-seat auditorium for visitors. The park ultimately closed in 2006 due to financial reasons, being unable to compete with the Singapore Zoo or Bird Park. 

Though there is only one crocodile farm left in Singapore, the city-state continues to play a large role in the crocodile skin trade. In 2018, for instance, Singapore was the largest importer of reptile skins from Africa, accounting for 60% of all reptile skins exported. This dominance is largely due to the presence of major tanneries in the country - chief among them, Heng Long Leather. Heng Long has long been a global player, supplying tanned crocodile leather to fashion houses like Hermès and Gucci, even before LVMH (Louis Vuitton Moët Hennessy) acquired a 51% stake in the company in 2011. As Heng Long’s executive director Koh Choon Heong once remarked to The Straits Times:

“Few Singaporeans realise that if they own a crocodile-skin bag, it was most likely dyed in their very own backyard.”
""",rasau.png
